pksz recv pars reqw entr copy tick
16 44.3012 7.37395 12.5437 30.2887 5.65251 8.39414
32 63.8486 9.27847 29.6629 56.0749 9.23549 9.77194
64 132.662 10.4099 42.2307 105.326 18.3146 10.5476
128 306.451 12.384 47.9982 197.45 35.3052 12.227
256 546.696 17.003 109.418 394.466 65.4451 15.2633
512 1089.12 24.8958 193.743 795.986 141.664 23.4863
1024 1652.12 30.3785 532.932 1538.01 263.18 18.6491
2048 2882.63 34.0708 1240.18 3000.55 685.292 19.9431
4096 6815.29 38.5153 1896.82 6210.44 1307.99 23.3374
8192 16005.3 49.512 3190.8 12468.7 3153.82 35.8172
16384 48994.7 55.1538 2104.27 25115.9 5523.02 61.5281
# 32768 160830 74.2386 285.977 0 0 0
